City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Hasaki,JP,2022-01-27 23:48:38,35.7333,140.8333,39.6,58,100,6.78
116,Fortuna,US,2022-01-27 23:48:39,40.5982,-124.1573,59.94,66,0,1.01
117,Presidente Franco,PY,2022-01-27 23:48:39,-25.5333,-54.6167,75.96,100,75,2.3
118,Dikson,RU,2022-01-27 23:48:39,73.5069,80.5464,1.02,95,100,25.59
119,Chumikan,RU,2022-01-27 23:48:40,54.7183,135.315,-14.84,91,42,10.36
120,Georgetown,MY,2022-01-27 23:45:13,5.4112,100.3354,78.89,90,20,5.01
121,Severo-Kurilsk,RU,2022-01-27 23:48:40,50.6789,156.125,24.89,86,95,37.47
122,Sakiai,LT,2022-01-27 23:48:41,54.9547,23.0358,35.85,97,100,17.05
123,Anadyr,RU,2022-01-27 23:48:41,64.75,177.4833,-4.23,99,100,3.42
124,Norman Wells,CA,2022-01-27 23:48:41,65.282,-126.8329,-0.36,78,100,5.75
125,Mogadishu,SO,2022-01-27 23:48:42,2.0371,45.3438,76.03,80,94,16.22
126,Birjand,IR,2022-01-27 23:48:42,32.8663,59.2211,48.67,29,40,4.61
127,San Cristobal,VE,2022-01-27 23:48:42,7.7669,-72.225,73.58,88,66,2.42
128,Fonte Boa,BR,2022-01-27 23:48:43,-2.4959,-66.2662,74.97,97,86,2.35
129,Souillac,MU,2022-01-27 23:48:43,-20.5167,57.5167,75.58,83,40,3.44
130,Price,US,2022-01-27 23:48:43,39.5994,-110.8107,36.66,30,0,14.97
131,Torbay,CA,2022-01-27 23:48:44,47.6666,-52.7314,21.58,89,100,9.22
132,Butaritari,KI,2022-01-27 23:48:44,3.0707,172.7902,82.27,77,37,15.12
133,Melfort,CA,2022-01-27 23:48:44,52.8667,-104.6177,10.53,85,100,10.36
134,Bahia Blanca,AR,2022-01-27 23:48:45,-38.7196,-62.2724,69.46,38,0,9.33
135,Junin,AR,2022-01-27 23:46:48,-34.5838,-60.9433,61.7,64,0,7.49
