City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
81,Clyde River,CA,2022-01-29 21:10:54,70.4692,-68.5914,-12.71,97,100,3.4,overcast clouds
82,Hamilton,US,2022-01-29 21:06:29,39.1834,-84.5333,26.2,58,40,1.01,scattered clouds
83,Grand Gaube,MU,2022-01-29 21:10:54,-20.0064,57.6608,79.38,74,90,3.0,overcast clouds
84,Berlevag,NO,2022-01-29 21:10:54,70.8578,29.0864,19.4,79,98,5.84,overcast clouds
85,Cidreira,BR,2022-01-29 21:11:55,-30.1811,-50.2056,73.67,58,56,12.64,broken clouds
86,Bontang,ID,2022-01-29 21:11:55,0.1333,117.5,78.46,81,100,1.34,overcast clouds
87,Sidi Ali,DZ,2022-01-29 21:11:56,36.0998,0.4206,51.03,43,0,9.19,clear sky
88,Port Alfred,ZA,2022-01-29 21:09:17,-33.5906,26.891,70.18,83,46,12.37,scattered clouds
89,Semnan,IR,2022-01-29 21:11:56,35.5729,53.3971,34.68,48,0,2.68,clear sky
90,Cabo San Lucas,MX,2022-01-29 21:11:56,22.8909,-109.9124,80.62,56,0,7.0,clear sky
91,Paka,MY,2022-01-29 21:08:09,4.6374,103.4368,74.05,87,51,3.18,broken clouds
92,Saldanha,ZA,2022-01-29 21:11:57,-33.0117,17.9442,65.03,87,0,16.91,clear sky
93,Bukama,CD,2022-01-29 21:11:57,-9.2,25.85,69.67,97,100,0.98,moderate rain
94,Egvekinot,RU,2022-01-29 21:11:36,66.3167,-179.1667,-6.32,65,12,2.59,few clouds
95,Mbini,GQ,2022-01-29 21:11:57,1.574,9.6134,80.74,82,100,6.76,overcast clouds
96,Langsa,ID,2022-01-29 21:11:58,4.4683,97.9683,73.6,96,46,3.09,scattered clouds
97,Belyy Yar,RU,2022-01-29 21:11:58,53.6039,91.3903,-20.31,76,40,0.0,smoke
98,Kinablangan,PH,2022-01-29 21:11:58,7.6947,126.5503,75.94,84,95,3.89,overcast clouds
99,Inuvik,CA,2022-01-29 21:11:59,68.3499,-133.7218,-21.6,95,92,4.83,overcast clouds
100,Aklavik,CA,2022-01-29 21:11:59,68.2191,-135.0107,-19.21,90,91,4.94,overcast clouds
101,Imeni Stepana Razina,RU,2022-01-29 21:11:59,54.8932,44.2963,19.74,97,100,4.54,light snow
